museum_id,day,open,close
30,Sunday,10:30:AM,05:30:PM
31,Sunday,11:00:AM,06:00:PM
32,Sunday,10:00:AM,05:00:PM
33,Sunday,10:00:AM,06:00:PM
34,Sunday,11:00:AM,06:00:PM
35,Sunday,10:00:AM,05:30:PM
36,Sunday,10:00:AM,06:00:PM
37,Sunday,10:00:AM,06:30:PM
38,Monday,09:30:AM,05:30:PM
39,Sunday,10:00:AM,05:00:PM
40,Sunday,09:00:AM,06:00:PM
41,Sunday,10:00:AM,05:00:PM
42,Sunday,10:00:AM,05:00:PM
43,Sunday,09:00:AM,05:00:PM
44,Sunday,10:00:AM,05:00:PM
45,Sunday,10:00:AM,06:00:PM
46,Sunday,10:00:AM,05:00:PM
47,Sunday,10:00:AM,06:00:PM
48,Sunday,10:00:AM,06:00:PM
49,Sunday,09:30:AM,06:00:PM
50,Sunday,10:00:AM,07:00:PM
51,Sunday,11:00:AM,05:00:PM
52,Sunday,10:00:AM,06:00:PM
53,Sunday,10:00:AM,05:00:PM
54,Sunday,12:30:PM,06:00:PM
55,Sunday,10:00:AM,05:30:PM
56,Sunday,10:00:AM,07:00:PM
57,Sunday,09:00:AM,06:00:PM
58,Sunday,11:00:AM,06:00:PM
59,Sunday,11:00:AM,05:00:PM
60,Sunday,10:00:AM,07:00:PM
61,Sunday,11:00:AM,06:00:PM
62,Sunday,10:00:AM,06:00:PM
63,Sunday,11:00:AM,04:00:PM
64,Sunday,10:00:AM,06:00:PM
65,Sunday,09:30:AM,05:15:PM
66,Sunday,11:30:AM,07:00:PM
67,Sunday,10:00:AM,05:00:PM
68,Sunday,11:00:AM,05:00:PM
69,Sunday,10:00:AM,04:30:PM
70,Sunday,08:15:AM,06:30:PM
71,Sunday,09:00:AM,03:30:PM
72,Sunday,10:00:AM,06:00:PM
73,Sunday,10:00:AM,05:00:PM
74,Sunday,10:00:AM,05:00:PM
75,Sunday,10:00:AM,05:00:PM
76,Sunday,10:00:AM,05:00:PM
77,Sunday,12:00:PM,05:00:PM
78,Sunday,10:00:AM,05:00:PM
79,Sunday,10:00:AM,05:00:PM
80,Sunday,11:00:AM,05:00:PM
81,Sunday,10:00:AM,05:00:PM
82,Sunday,10:00:AM,06:00:PM
83,Sunday,12:00:PM,05:00:PM
84,Sunday,10:00:AM,06:00:PM
85,Sunday,12:00:PM,07:00:PM
86,Sunday,10:00:AM,06:00:PM
